year,station,total_crime,contact_related_crime,crimes_against_property,other_serious_crimes,contact_crime,crimes_dependent_on_police_action_for_detention,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated,year_numeric,post,did
2016/2017,marikana,1255,87,272,406,377,200,1055,5.60947179518496,5.934894195619588,4.477336814478207,6.008813185442595,5.303304908059076,7.135687347028144,6.962243464266207,1,2016,0,0
2016/2017,phokeng,3007,141,1021,670,1051,265,2742,6.92951677076365,6.9584483932976555,4.955827057601261,6.508769136971682,5.583496308781699,8.00903068506973,7.916807490937603,0,2016,0,0
2016/2017,rustenburg,9686,425,3229,2594,2518,1345,8341,8.080237416216702,7.831617276352611,6.054439346269371,7.861341795599989,7.204892510204673,9.178540059426386,9.02905827475689,0,2016,0,0
2016/2017,tlhabane,2550,115,920,388,640,602,1948,6.825460036255307,6.46302945692067,4.7535901911063645,5.963579343618446,6.401917196727186,7.844240718141811,7.575071699507561,0,2016,0,0
2017/2018,bethanie,725,22,135,100,176,314,411,4.912654885736052,5.176149732573829,3.1354942159291497,4.61512051684126,5.752572638825633,6.587550014824796,6.021023349349527,0,2017,0,0
2017/2018,boitekong,3921,288,772,476,1751,922,2999,6.650279048587422,7.468513271496337,5.666426688112432,6.1675164908883415,6.827629234502852,8.274357006756292,8.006367567650246,0,2017,0,0
2017/2018,boons,208,16,81,37,56,34,174,4.406719247264253,4.04305126783455,2.833213344056216,3.6375861597263857,3.5553480614894135,5.342334251964811,5.1647859739235145,0,2017,0,0
2017/2018,lethabong,664,34,138,55,237,234,430,4.9344739331306915,5.472270673671475,3.5553480614894135,4.02535169073515,5.459585514144159,6.499787040655854,6.066108090103747,0,2017,0,0
2017/2018,marikana,1342,77,316,377,386,263,1079,5.75890177387728,5.958424693029782,4.356708826689592,5.934894195619588,5.575949103146316,7.202661196523238,6.984716320118266,1,2017,0,0
2017/2018,phokeng,2827,141,1020,445,1012,350,2477,6.928537818164665,6.920671504248683,4.955827057601261,6.100318952020064,5.860786223465865,7.947325027016463,7.815207062189088,0,2017,0,0
2017/2018,rustenburg,9334,441,2984,2363,2544,1443,7891,8.001355025826703,7.841885928984623,6.091309882077698,7.768110378525988,7.275172319452771,9.141526055975824,8.973604867142505,0,2017,0,0
2017/2018,tlhabane,2468,130,693,354,764,657,1811,6.542471960506805,6.639875833826536,4.875197323201151,5.872117789475416,6.489204931325317,7.81156848934518,7.502186486602924,0,2017,0,0
2018/2019,bethanie,659,36,144,77,188,250,409,4.976733742420574,5.241747015059643,3.6109179126442243,4.356708826689592,5.5254529391317835,6.492239835020471,6.016157159698354,0,2018,0,0
2018/2019,boitekong,3833,292,737,521,1935,640,3193,6.6039438246004725,7.568379267836522,5.680172609017068,6.257667587882639,6.46302945692067,8.251663923605589,8.069029328774958,0,2018,0,0
2018/2019,boons,162,12,55,24,68,15,147,4.02535169073515,4.23410650459726,2.5649493574615367,3.2188758248682006,2.772588722239781,5.093750200806762,4.997212273764115,0,2018,0,0
2018/2019,lethabong,605,41,115,98,279,113,492,4.7535901911063645,5.634789603169249,3.7376696182833684,4.59511985013459,4.736198448394496,6.406879986069314,6.20050917404269,0,2018,0,0
2018/2019,marikana,1142,62,350,280,389,123,1019,5.860786223465865,5.966146739123692,4.143134726391533,5.638354669333745,4.820281565605037,7.04141166379481,6.927557906278317,1,2018,0,0
2018/2019,phokeng,2639,150,927,444,1039,229,2410,6.833031732786201,6.946975992135418,5.017279836814924,6.09807428216624,5.438079308923196,7.878534196140362,7.787796878181171,0,2018,0,0
2018/2019,rustenburg,7791,391,2373,2310,2050,1058,6733,7.772331575169614,7.62608275807238,5.971261839790462,7.745435610274381,6.9650803456014065,8.960852845322371,8.814924599721019,0,2018,0,0
2018/2019,tlhabane,2513,158,830,400,811,472,2041,6.7226297948554485,6.699500340161678,5.0689042022202315,5.993961427306569,6.159095388491933,7.829630389150193,7.621684998724611,0,2018,0,0
2019/2020,bethanie,621,38,173,119,153,176,445,5.159055299214529,5.0369526024136295,3.6635616461296463,4.787491742782046,5.176149732573829,6.432940092739179,6.100318952020064,0,2019,0,0
